"filename", "language", "TypeScript", "Markdown", "Ignore", "JavaScript", "JSON", "JSON with Comments", "YAML", "PostCSS", "HTML", "vue", "comment", "blank", "total"
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-mention.service.ts", "TypeScript", 914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 1072
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-node-match.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 142
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-prompt.service.ts", "TypeScript", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 53, 455
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook-binding.service.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 62
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook-commit.service.ts", "TypeScript", 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 450
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\api.service.ts", "TypeScript", 888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 1025
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\category.service.ts", "TypeScript", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 312
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\chunk.service.ts", "TypeScript", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 293
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\entry-config.service.ts", "TypeScript", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 475
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\history-db.service.ts", "TypeScript", 858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 1033
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\merge.service.ts", "TypeScript", 725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 164, 890
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\parse.service.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 136
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\process.service.ts", "TypeScript", 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94, 617
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\reroll.service.ts", "TypeScript", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 405
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\semaphore.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 126
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\st-format.service.ts", "TypeScript", 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 591
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\task-io.service.ts", "TypeScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 160
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbook\token.service.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbuilding-ai.service.ts", "TypeScript", 614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 725
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\worldbuilding-outline-sync.service.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 215
